MAIN.PRIVATE_GAME	Partie Privé
POPUP.START_GAME.BODY	Tout le monde est prêt ?\n\nUne fois la partie demarré\les nouveaux joueur pourrons pas rejoindre.
POPUP.START_GAME.OPT1	Oui !
POPUP.START_GAME.OPT2	Non ATTENDS !
POPUP.LEAVE_LOBBY.HEADER	Quitter le lobby
POPUP.LEAVE_LOBBY.BODY	Êtes vous sur ?
POPUP.LEAVE_LOBBY.OPT1	Oui
POPUP.LEAVE_LOBBY.OPT2	Non
POPUP.NEW_GAME.HEADER	Nouvelle partie
POPUP.NEW_GAME.BODY	Êtes vous sur de démarrer une nouvelle partie?
POPUP.NEW_GAME.OPT1	Oui !
POPUP.NEW_GAME.OPT2	Non
PASSWORD.CONFIRM	Confirmer
LOBBY.PLAYER_JOINING	Le joueur rejoint...
COSMETICS.TYPE.HEAD_BOTTOM	Bas du visage
POPUP.COSMETICS_RESET_ALL.HEADER	Tout supprimer
POPUP.COSMETICS_RESET_ALL.BODY	Êtes vous sur de tout déséquiper tout les cosmétiques et éléments du corps ?\n\nCela est Irréversible !
POPUP.COSMETICS_RESET_ALL.OPT1	Oui ! :')
POPUP.COSMETICS_RESET_ALL.OPT2	Non...
POPUP.COSMETICS_RESET_BODY.HEADER	Tout supprimer
POPUP.COSMETICS_RESET_BODY.BODY	Êtes vous sur de tout déséquiper tout les éléments du corps ?\n\nCela est Irréversible !
POPUP.COSMETICS_RESET_BODY.OPT1	Oui ! :')
POPUP.COSMETICS_RESET_BODY.OPT2	Non...
POPUP.COSMETICS_RESET_COSMETICS.HEADER	Tout supprimer
POPUP.COSMETICS_RESET_COSMETICS.BODY	Êtes vous sur de tout déséquiper tout les cosmétiques ?\n\nCela est Irréversible !
POPUP.COSMETICS_RESET_COSMETICS.OPT1	Oui ! :')
POPUP.COSMETICS_RESET_COSMETICS.OPT2	Non...
POPUP.COSMETICS_RANDOMIZE_ALL.HEADER	Aléatoire
POPUP.COSMETICS_RANDOMIZE_ALL.BODY	Êtes vous sur de tout déséquiper tout les cosmétiques et éléments du corps ?\n\nCela est Irréversible !
POPUP.COSMETICS_RANDOMIZE_ALL.OPT1	Oui ! :')
POPUP.COSMETICS_RANDOMIZE_ALL.OPT2	Non...
POPUP.COSMETICS_RANDOMIZE_BODY.HEADER	Aléatoire
POPUP.COSMETICS_RANDOMIZE_BODY.BODY	Êtes vous sur que vous voulez mettre des parties du corps aléatoirement ?\n\nCela est Irréversible !
POPUP.COSMETICS_RANDOMIZE_BODY.OPT1	Oui ! :')
POPUP.COSMETICS_RANDOMIZE_BODY.OPT2	Non...
POPUP.COSMETICS_RANDOMIZE_COSMETICS.HEADER	Aléatoire
POPUP.COSMETICS_RANDOMIZE_COSMETICS.BODY	Êtes vous sur que vous voulez mettre des cosmétiques aléatoirement ?\n\nCela est Irréversible !
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT1	Oui ! :')
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT2	Non...
POPUP.COSMETICS_COLOR_BODY.HEADER	Changer la couleur
POPUP.COSMETICS_COLOR_BODY.BODY	Cela va remplacer toutes les couleurs sur le corps.\n\nCela est Irréversible !
POPUP.COSMETICS_COLOR_BODY.OPT1	Oui ! :')
POPUP.COSMETICS_COLOR_BODY.OPT2	Non...
POPUP.COSMETICS_COLOR_COSMETICS.HEADER	Changer la couleur
POPUP.COSMETICS_COLOR_COSMETICS.BODY	Cela va remplacer la couleur sur tout les cosmétiques.\n\nCela est Irréversible !
POPUP.COSMETICS_COLOR_COSMETICS.OPT1	Oui ! :')
POPUP.COSMETICS_COLOR_COSMETICS.OPT2	Non...
COSMETICS.TYPE.FACE_TOP	Haut du visage
COSMETICS.TYPE.FACE_BOTTOM	Milieu du visage
MAIN.CUSTOMIZE	Customiser
ESC.HEADER	Menu
ESC.CONTINUE	Continuer
ESC.CUSTOMIZE	Customiser
ESC.SETTINGS	Paramètres
ESC.SELF_DESTRUCT	Auto-destruction
ESC.ACTIVE_MOONS	Lunes actives
ESC.MAIN_MENU	Menu principal
ESC.QUIT_GAME	Quitter la partie
POPUP.MAIN_MENU.OPT2	Non
MOONS.HEADER	Lunes actives
MOONS.BACK	Retour
MOONS.MOON_1.NAME	Lune croissante
MOONS.MOON_1.ATTRIBUTE_1	Le médecin du camion recharge 35 pv.
MOONS.MOON_1.ATTRIBUTE_2	Les monstres sont plus diffile a tuer avec des objets de valeurs.
MOONS.MOON_2.NAME	Demi-Lune
MOONS.MOON_2.ATTRIBUTE_1	Les monstres surcharge votre grappin.
MOONS.MOON_2.ATTRIBUTE_2	Monsters take heavy damage from pits, but can survive.
MOONS.MOON_2.ATTRIBUTE_3	Le médecin du camion recharge 25 pv.
MOONS.MOON_3.NAME	Lune entière
MOONS.MOON_3.ATTRIBUTE_1	Les monstres surchargent votre grappin pour un total de 25%
MOONS.MOON_3.ATTRIBUTE_2	Les monstres prennent moins de dégats quand ils tombent dans les trous.
MOONS.MOON_4.NAME	Super Lune
MOONS.MOON_4.ATTRIBUTE_1	Les orbes de monstres explosent une fois detruit
MOONS.MOON_4.ATTRIBUTE_2	Les monstres surchargent votre grappin pour un total de 50%
MOONS.MOON_4.ATTRIBUTE_3	Les monstres prennent moins de dégats quand ils tombent dans les trous.
LOBBY.PING	{ping} ms
REGIONS.PING	{ping} ms
SPLASH.PHOTOSENSITIVITY_WARNING.HEADER	Attention épileptique
SPLASH.PHOTOSENSITIVITY_WARNING.SUBHEADER	Ce jeu contient des flash lumineux.
SPLASH.PHOTOSENSITIVITY_WARNING.TEXT	Certaines personnes peuvent experiencer des crises d'épilepsie quand ils sont exposé a des patternes lumineux ou des flash lumineux. Si vous resentez une crise pendant que vous jouez, ARRETEZ IMMÉDIATEMENT ET ALLEZ VOIR UN DOCTEUR.
LEVEL.NAME.SHOP	Station de service
LEVEL.NAME.ARENA	Arène d'élimination
LEVEL.NAME.ARCTIC	La Station de McJannek
LEVEL.NAME.MANOR	Le Manoir du chef
LEVEL.NAME.MUSEUM	Le Musée d'Art Humain
LEVEL.NAME.WIZARD	L'académie du Balai-Vif
LOADING.LEVEL.SHOP	Boutique
LOADING.LEVEL.LEVEL_NUMBER Niveau {number}
LOADING.LEVEL.GAME_OVER	Perdu
SAVES.SAVE_INFO.PLAYER_SOLO	Vous l'avez fait tout seul !
